order_id,order_date,store_name,product_name,category,quantity,unit_price,sales_amount,cost_amount,profit
10000,2024-04-12,Downtown Showroom,Water Heater,Appliance,3,860.51,2581.5299999999997,1560.0,1021.5299999999997
10001,2025-03-11,Suburban Outlet,Gas Stove,Appliance,4,644.92,2579.68,1520.0,1059.6799999999998
10002,2024-09-27,Downtown Showroom,Gas Stove,Appliance,3,589.16,1767.48,1140.0,627.48
10003,2024-04-16,Downtown Showroom,Stainless Sink,Kitchen,4,261.54,1046.16,560.0,486.1600000000001
10004,2024-03-12,Downtown Showroom,Stainless Sink,Kitchen,6,259.6,1557.6000000000001,840.0,717.6000000000001
10005,2025-12-01,Suburban Outlet,Bathroom Vanity,Bathroom,2,454.37,908.74,520.0,388.74
10006,2024-01-21,Downtown Showroom,Gas Stove,Appliance,4,621.05,2484.2,1520.0,964.1999999999998
10007,2025-09-06,Suburban Outlet,Kitchen Faucet,Kitchen,2,139.76,279.52,160.0,119.51999999999998
10008,2024-05-01,Online Pickup,Cutlery Set,Accessories,6,82.71,496.26,180.0,316.26
10009,2025-04-11,Downtown Showroom,Cabinet Handle,Accessories,3,12.23,36.69,10.5,26.189999999999998
10010,2024-08-02,Suburban Outlet,Gas Stove,Appliance,2,596.61,1193.22,760.0,433.22
10011,2024-11-26,Downtown Showroom,Water Heater,Appliance,3,943.61,2830.83,1560.0,1270.83
10012,2025-04-03,Online Pickup,Cabinet Handle,Accessories,1,11.65,11.65,3.5,8.15
10013,2024-03-28,Downtown Showroom,Gas Stove,Appliance,3,623.39,1870.17,1140.0,730.1700000000001
10014,2025-01-07,Suburban Outlet,Shower Head,Bathroom,5,111.2,556.0,225.0,331.0
10015,2024-04-09,Online Pickup,Stainless Sink,Kitchen,2,254.96,509.92,280.0,229.92000000000002
10016,2025-10-25,Online Pickup,Water Heater,Appliance,3,899.32,2697.96,1560.0,1137.96
10017,2024-05-10,Suburban Outlet,Cutlery Set,Accessories,3,81.36,244.07999999999998,90.0,154.07999999999998
10018,2025-10-23,Downtown Showroom,Bathroom Vanity,Bathroom,3,413.23,1239.69,780.0,459.69000000000005
10019,2024-11-04,Suburban Outlet,Water Heater,Appliance,4,971.38,3885.52,2080.0,1805.52
10020,2024-12-09,Online Pickup,Gas Stove,Appliance,2,643.4,1286.8,760.0,526.8
10021,2025-05-06,Suburban Outlet,Bathroom Vanity,Bathroom,5,472.49,2362.45,1300.0,1062.4499999999998
10022,2025-02-17,Downtown Showroom,Gas Stove,Appliance,3,572.26,1716.78,1140.0,576.78
10023,2025-01-20,Online Pickup,Bathroom Vanity,Bathroom,2,432.58,865.16,520.0,345.15999999999997
10024,2024-07-10,Suburban Outlet,Cutlery Set,Accessories,4,73.31,293.24,120.0,173.24
10025,2024-10-03,Suburban Outlet,Stainless Sink,Kitchen,1,233.59,233.59,140.0,93.59
10026,2024-06-09,Downtown Showroom,Cutlery Set,Accessories,2,76.53,153.06,60.0,93.06
10027,2025-04-04,Suburban Outlet,Shower Head,Bathroom,3,123.59,370.77,135.0,235.76999999999998
10028,2024-11-09,Downtown Showroom,Kitchen Faucet,Kitchen,4,139.61,558.44,320.0,238.44000000000005
10029,2024-01-22,Suburban Outlet,Stainless Sink,Kitchen,5,271.59,1357.9499999999998,700.0,657.9499999999998
10030,2024-09-09,Downtown Showroom,Cutlery Set,Accessories,5,75.7,378.5,150.0,228.5
10031,2025-07-14,Suburban Outlet,Shower Head,Bathroom,3,111.32,333.96,135.0,198.95999999999998
10032,2025-04-19,Online Pickup,Kitchen Faucet,Kitchen,4,157.74,630.96,320.0,310.96000000000004
10033,2024-02-28,Downtown Showroom,Shower Head,Bathroom,3,113.03,339.09000000000003,135.0,204.09000000000003
10034,2025-05-25,Online Pickup,Gas Stove,Appliance,6,623.0,3738.0,2280.0,1458.0
10035,2025-11-12,Downtown Showroom,Cabinet Handle,Accessories,3,12.41,37.230000000000004,10.5,26.730000000000004
10036,2025-04-20,Online Pickup,Gas Stove,Appliance,3,600.53,1801.59,1140.0,661.5899999999999
10037,2025-11-30,Suburban Outlet,Bathroom Vanity,Bathroom,2,463.07,926.14,520.0,406.14
10038,2024-07-08,Suburban Outlet,Stainless Sink,Kitchen,3,238.46,715.38,420.0,295.38
10039,2025-11-17,Suburban Outlet,Gas Stove,Appliance,4,630.15,2520.6,1520.0,1000.5999999999999
10040,2025-07-16,Online Pickup,Water Heater,Appliance,4,877.8,3511.2,2080.0,1431.1999999999998
10041,2025-07-20,Downtown Showroom,Shower Head,Bathroom,2,119.67,239.34,90.0,149.34
10042,2024-08-31,Downtown Showroom,Stainless Sink,Kitchen,1,237.43,237.43,140.0,97.43
10043,2025-05-19,Suburban Outlet,Cabinet Handle,Accessories,4,12.86,51.44,14.0,37.44
10044,2024-05-10,Online Pickup,Water Heater,Appliance,3,934.26,2802.7799999999997,1560.0,1242.7799999999997
10045,2025-04-29,Suburban Outlet,Gas Stove,Appliance,4,617.49,2469.96,1520.0,949.96
10046,2025-10-08,Suburban Outlet,Bathroom Vanity,Bathroom,2,433.09,866.18,520.0,346.17999999999995
10047,2024-01-21,Downtown Showroom,Cutlery Set,Accessories,3,87.24,261.71999999999997,90.0,171.71999999999997
10048,2024-06-15,Online Pickup,Bathroom Vanity,Bathroom,4,490.12,1960.48,1040.0,920.48
10049,2024-09-30,Downtown Showroom,Water Heater,Appliance,3,936.91,2810.73,1560.0,1250.73
10050,2025-01-22,Suburban Outlet,Kitchen Faucet,Kitchen,3,161.19,483.57,240.0,243.57
10051,2025-08-23,Downtown Showroom,Gas Stove,Appliance,2,626.1,1252.2,760.0,492.20000000000005
10052,2024-11-11,Downtown Showroom,Water Heater,Appliance,4,960.56,3842.24,2080.0,1762.2399999999998
10053,2024-01-14,Downtown Showroom,Kitchen Faucet,Kitchen,2,156.61,313.22,160.0,153.22000000000003
10054,2024-08-29,Downtown Showroom,Kitchen Faucet,Kitchen,4,159.89,639.56,320.0,319.55999999999995
10055,2024-12-11,Suburban Outlet,Shower Head,Bathroom,2,128.13,256.26,90.0,166.26
10056,2025-07-18,Downtown Showroom,Stainless Sink,Kitchen,5,230.63,1153.15,700.0,453.1500000000001
10057,2024-12-05,Downtown Showroom,Shower Head,Bathroom,3,131.07,393.21,135.0,258.21
10058,2024-04-01,Downtown Showroom,Gas Stove,Appliance,3,569.86,1709.58,1140.0,569.5799999999999
10059,2025-01-01,Downtown Showroom,Kitchen Faucet,Kitchen,4,139.18,556.72,320.0,236.72000000000003
10060,2025-03-30,Downtown Showroom,Cabinet Handle,Accessories,1,12.11,12.11,3.5,8.61
10061,2025-03-03,Downtown Showroom,Water Heater,Appliance,3,871.94,2615.82,1560.0,1055.8200000000002
10062,2025-05-23,Suburban Outlet,Cutlery Set,Accessories,4,80.12,320.48,120.0,200.48000000000002
10063,2024-02-04,Suburban Outlet,Kitchen Faucet,Kitchen,3,137.2,411.59999999999997,240.0,171.59999999999997
10064,2024-07-24,Suburban Outlet,Water Heater,Appliance,4,951.31,3805.24,2080.0,1725.2399999999998
10065,2024-03-21,Downtown Showroom,Cabinet Handle,Accessories,3,11.81,35.43,10.5,24.93
10066,2025-07-15,Downtown Showroom,Cutlery Set,Accessories,2,84.03,168.06,60.0,108.06
